Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-August-2020,277.50,278.15,272.75,273.35,275.419788799640510026,356060,6732,98065970.00,131861,37.03,5.40,-4.15
20-August-2020,279.00,279.00,273.60,274.25,275.087220347633765276,246869,3728,67910507.00,97643,39.55,5.40,-4.75
19-August-2020,284.20,285.70,279.15,279.60,282.028568545264234988,426098,4648,120171809.00,217609,51.07,6.55,-4.60
18-August-2020,284.20,287.25,281.85,282.55,284.169920630194929065,453447,7083,128855998.00,167222,36.88,5.40,-1.65
17-August-2020,276.70,286.30,276.70,282.35,281.950109048136379601,612115,9516,172585891.00,224604,36.69,9.60,5.65
14-August-2020,280.00,280.55,276.00,276.50,278.166683606057526171,167263,2270,46526994.00,55634,33.26,4.55,-3.50
13-August-2020,279.40,281.75,274.75,277.00,278.376644467173117011,1024648,4870,285238072.00,691407,67.48,7.00,-2.40
12-August-2020,281.00,281.00,274.65,276.20,276.036725888708793478,859421,5923,237231759.00,509270,59.26,6.35,-4.80
11-August-2020,279.70,284.60,278.65,279.50,280.977304707332994850,413610,4316,116215023.00,238317,57.62,5.95,-0.20
10-August-2020,280.95,281.25,276.75,277.15,277.982017868452738615,431039,2658,119821091.00,304763,70.70,4.50,-3.80
7-August-2020,280.10,281.55,276.50,277.25,278.369078897023187000,196015,2544,54564515.00,47153,24.06,5.05,-2.85
6-August-2020,282.90,284.40,277.75,279.45,280.695060795717272235,307094,3893,86199769.00,63639,20.72,6.65,-3.45
5-August-2020,281.80,284.40,277.50,278.15,280.481024818020290021,436175,5246,122338811.00,116181,26.64,6.90,-3.65
4-August-2020,282.00,283.40,278.25,281.10,280.326508758943992104,202650,2892,56808167.00,42712,21.08,5.15,-0.90
3-August-2020,283.00,284.55,279.70,281.30,281.626108185041486437,718066,6681,202226133.00,342279,47.67,4.85,-1.70
31-July-2020,287.00,290.65,278.70,280.60,283.637351242599506206,936424,8625,265604823.00,464845,49.64,11.95,-6.40
30-July-2020,278.80,286.75,278.80,284.05,284.509025996753293986,1168569,10992,332468428.00,637270,54.53,7.95,5.25
29-July-2020,274.50,278.00,273.00,277.00,276.301497904565091040,294211,3754,81290940.00,74423,25.30,5.00,2.50
28-July-2020,270.00,276.65,269.15,275.45,273.358181006047278724,1047744,8726,286409394.00,690776,65.93,7.50,5.45
27-July-2020,271.00,273.15,267.25,268.55,270.291816467677969275,528757,6475,142918690.00,153296,28.99,5.90,-2.45
24-July-2020,268.75,271.65,265.70,270.45,268.647485302074951707,1070049,9468,287465973.00,396374,37.04,5.95,1.70
23-July-2020,267.15,271.00,262.75,266.60,264.520410169240132171,849503,6032,224710882.00,58880,6.93,8.25,-0.55
22-July-2020,271.25,272.80,263.70,265.90,266.676665614878472061,431012,5818,114940843.00,89852,20.85,9.10,-5.35
21-July-2020,277.00,281.50,269.35,271.05,275.706603138482721655,1246271,18244,343605144.00,233590,18.74,12.15,-5.95
